Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0044419~interspecies interaction between organisms	8	0.8412197686645636	2.7068250530531043E-5	ENSMUSG00000000318, ENSMUSG00000051906, ENSMUSG00000040963, ENSMUSG00000065987, ENSMUSG00000034783, ENSMUSG00000030148, ENSMUSG00000040950, ENSMUSG00000030147	786	24	19984	8.474978795589484	0.08915881583631058	0.060402996870941285	0.060210407605555676
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	6	0.6309148264984227	3.501623007011089E-5	ENSMUSG00000037649, ENSMUSG00000036594, ENSMUSG00000073421, ENSMUSG00000079547, ENSMUSG00000060586, ENSMUSG00000037548	786	11	19984	13.868147120055516	0.11379600204113294	0.060402996870941285	0.060210407605555676
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	7	0.7360672975814931	8.705225151274289E-5	ENSMUSG00000037649, ENSMUSG00000036594, ENSMUSG00000073421, ENSMUSG00000079547, ENSMUSG00000060586, ENSMUSG00000004552, ENSMUSG00000037548	786	20	19984	8.898727735368958	0.259436088697916	0.10011008923965432	0.09979089765077426
GOTERM_BP_DIRECT	GO:0007399~nervous system development	35	3.680336487907466	1.399234171072202E-4	ENSMUSG00000004891, ENSMUSG00000005583, ENSMUSG00000032340, ENSMUSG00000049001, ENSMUSG00000020181, ENSMUSG00000001300, ENSMUSG00000060275, ENSMUSG00000004798, ENSMUSG00000026768, ENSMUSG00000025810, ENSMUSG00000008855, ENSMUSG00000022048, ENSMUSG00000026249, ENSMUSG00000022103, ENSMUSG00000026826, ENSMUSG00000024921, ENSMUSG00000052512, ENSMUSG00000031214, ENSMUSG00000031385, ENSMUSG00000030110, ENSMUSG00000026193, ENSMUSG00000009418, ENSMUSG00000055493, ENSMUSG00000027200, ENSMUSG00000040957, ENSMUSG00000020053, ENSMUSG00000022353, ENSMUSG00000063531, ENSMUSG00000007613, ENSMUSG00000029765, ENSMUSG00000021224, ENSMUSG00000025207, ENSMUSG00000039145, ENSMUSG00000030539, ENSMUSG00000031785	786	439	19984	2.027045042225275	0.38292799813978873	0.1026612395523242	0.10233391386099794
GOTERM_BP_DIRECT	GO:0002376~immune system process	40	4.206098843322819	1.4878440514829594E-4	ENSMUSG00000036526, ENSMUSG00000030263, ENSMUSG00000030165, ENSMUSG00000051682, ENSMUSG00000017309, ENSMUSG00000026285, ENSMUSG00000069607, ENSMUSG00000023274, ENSMUSG00000102418, ENSMUSG00000041439, ENSMUSG00000027636, ENSMUSG00000022887, ENSMUSG00000051969, ENSMUSG00000015083, ENSMUSG00000038147, ENSMUSG00000052336, ENSMUSG00000030148, ENSMUSG00000034641, ENSMUSG00000037649, ENSMUSG00000052160, ENSMUSG00000032076, ENSMUSG00000026471, ENSMUSG00000025163, ENSMUSG00000089669, ENSMUSG00000022672, ENSMUSG00000022496, ENSMUSG00000060586, ENSMUSG00000044811, ENSMUSG00000079164, ENSMUSG00000062545, ENSMUSG00000027843, ENSMUSG00000040592, ENSMUSG00000021423, ENSMUSG00000026638, ENSMUSG00000021624, ENSMUSG00000036594, ENSMUSG00000026938, ENSMUSG00000010142, ENSMUSG00000073421, ENSMUSG00000079547	786	532	19984	1.9116493523886051	0.4015093566031277	0.1026612395523242	0.10233391386099794
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	9	0.9463722397476341	1.9713568366385277E-4	ENSMUSG00000037649, ENSMUSG00000051506, ENSMUSG00000036594, ENSMUSG00000042817, ENSMUSG00000073421, ENSMUSG00000079547, ENSMUSG00000060586, ENSMUSG00000076617, ENSMUSG00000037548	786	42	19984	5.4482006543075245	0.4934768017346999	0.11335301810671534	0.11299160268666494
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	20	2.1030494216614093	2.743555248802324E-4	ENSMUSG00000018909, ENSMUSG00000033960, ENSMUSG00000030110, ENSMUSG00000006386, ENSMUSG00000027001, ENSMUSG00000027358, ENSMUSG00000000058, ENSMUSG00000023274, ENSMUSG00000020053, ENSMUSG00000021253, ENSMUSG00000007613, ENSMUSG00000029468, ENSMUSG00000029821, ENSMUSG00000070873, ENSMUSG00000020623, ENSMUSG00000002944, ENSMUSG00000042284, ENSMUSG00000038147, ENSMUSG00000037922, ENSMUSG00000076617	786	196	19984	2.5943812639559636	0.6119637155028042	0.1352180801195431	0.13478695000901703
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	19	1.9978969505783386	3.520915772035183E-4	ENSMUSG00000032289, ENSMUSG00000034009, ENSMUSG00000029675, ENSMUSG00000058897, ENSMUSG00000026193, ENSMUSG00000033540, ENSMUSG00000049001, ENSMUSG00000024299, ENSMUSG00000040998, ENSMUSG00000063564, ENSMUSG00000026768, ENSMUSG00000042961, ENSMUSG00000028339, ENSMUSG00000049538, ENSMUSG00000046169, ENSMUSG00000045672, ENSMUSG00000047497, ENSMUSG00000035493, ENSMUSG00000029061	786	184	19984	2.6254010399380463	0.7032691669662674	0.15183949266901725	0.15135536675036243
GOTERM_BP_DIRECT	GO:0007411~axon guidance	19	1.9978969505783386	4.5674288513486666E-4	ENSMUSG00000032012, ENSMUSG00000027200, ENSMUSG00000032340, ENSMUSG00000004151, ENSMUSG00000001300, ENSMUSG00000024421, ENSMUSG00000070691, ENSMUSG00000063531, ENSMUSG00000025810, ENSMUSG00000025876, ENSMUSG00000021013, ENSMUSG00000029765, ENSMUSG00000022048, ENSMUSG00000025207, ENSMUSG00000047379, ENSMUSG00000045287, ENSMUSG00000030539, ENSMUSG00000021904, ENSMUSG00000030223	786	188	19984	2.5695414433436197	0.7932247703106844	0.16185742769539668	0.16134136053462875
GOTERM_BP_DIRECT	GO:0050870~positive regulation of T cell activation	8	0.8412197686645636	5.160671607679315E-4	ENSMUSG00000037649, ENSMUSG00000036526, ENSMUSG00000036594, ENSMUSG00000073421, ENSMUSG00000023274, ENSMUSG00000079547, ENSMUSG00000060586, ENSMUSG00000037548	786	37	19984	5.497283543085071	0.8315120885560766	0.16185742769539668	0.16134136053462875
